"Id","Season","Week","NeutralSite","HomeId","HomeTeam","HomePoints","AwayId","AwayTeam","AwayPoints"
"401693677","2024","1","true","124179","Lincoln (CA)","7","108382","College of Idaho","45"
"401635525","2024","1","true","59","Georgia Tech","24","52","Florida State","21"
"401654665","2024","1","false","2627","Tarleton State","26","2377","McNeese","23"
"401643697","2024","1","false","167","New Mexico","31","147","Montana State","35"
"401654662","2024","1","true","2546","Southeast Missouri State","37","2453","North Alabama","15"
"401636372","2024","1","true","2450","Norfolk State","23","50","Florida A&M","24"
"401643696","2024","1","false","2440","Nevada","24","2567","SMU","29"
"401643858","2024","1","false","62","Hawai'i","35","2169","Delaware State","14"
"401675545","2024","1","false","2834","Sul Ross State","21","2704","West Texas A&M","42"
"401673041","2024","1","false","2413","Morehead State","17","2119","Central State (OH)","10"
"401628458","2024","1","false","164","Rutgers","44","47","Howard","7"
"401628580","2024","1","false","222","Villanova","24","2754","Youngstown State","17"
"401673370","2024","1","false","2105","Carson-Newman College","50","2890","Reinhardt University","7"
"401674318","2024","1","false","128","Northern Michigan","7","134","Minnesota Duluth","35"
"401674307","2024","1","false","132","Bemidji State","19","2392","Michigan Tech","13"
"401674363","2024","1","false","2205","Edinboro University","12","2188","East Stroudsburg University","24"
"401674221","2024","1","false","568","Minot State","38","628","Valley City State","7"
"401675476","2024","1","false","2369","Mars Hill","16","2170","Delta State","47"
"401644727","2024","1","false","2084","Buffalo","30","322","Lafayette","13"
"401644730","2024","1","false","2117","Central Michigan","66","2115","Central Connecticut","10"
"401674184","2024","1","false","138","Northwest Missouri St","22","2364","Minnesota State Mankato","36"
"401674525","2024","1","false","2844","Wayne State (NE)","49","2402","Missouri S&T","17"
"401676074","2024","1","false","210","Millersville","7","2134","Clarion","36"
"401644729","2024","1","false","189","Bowling Green","41","2230","Fordham","17"
"401675822","2024","1","false","559","University of Mary","23","2939","Jamestown College","6"
"401628579","2024","1","false","48","Delaware","48","2803","Bryant","17"
"401674274","2024","1","false","2986","Fairmont State","56","611","Seton Hill","24"
"401636387","2024","1","false","2433","UL Monroe","30","2296","Jackson State","14"
"401628581","2024","1","false","154","Wake Forest","45","2448","North Carolina A&T","13"
"401674174","2024","1","false","196","Northeastern State","31","137","Missouri Western","33"
"401674305","2024","1","false","112335","Wheeling","25","2385","Mercyhurst","28"
"401628592","2024","1","false","2729","William & Mary","41","2678","VMI","7"
"401674295","2024","1","false","2699","West Liberty","21","2682","Walsh","41"
"401634143","2024","1","false","2382","Mercer","63","2506","Presbyterian","10"
