"Id","Season","Week","NeutralSite","HomeId","HomeTeam","HomePoints","AwayId","AwayTeam","AwayPoints"
"401756846","2025","1","true","2306","Kansas State","21","66","Iowa State","24"
"401767476","2025","1","false","2447","Nicholls","20","2916","Incarnate Word","6"
"401760371","2025","1","false","2439","UNLV","38","304","Idaho State","31"
"401767126","2025","1","false","2502","Portland State","0","2627","Tarleton State","42"
"401756847","2025","1","false","2305","Kansas","31","278","Fresno State","7"
"401757218","2025","1","false","98","Western Kentucky","41","2534","Sam Houston","24"
"401767410","2025","1","true","2582","Southern","14","2428","North Carolina Central","31"
"401754516","2025","1","false","62","Hawai'i","23","24","Stanford","20"
"401773590","2025","1","false","2120","Central Washington","41","11","Colorado Mesa","14"
"401762522","2025","1","false","58","South Florida","34","68","Boise State","7"
"401773488","2025","1","false","129","Saginaw Valley State","21","196","Northeastern State","28"
"401773397","2025","1","true","2366","Marian College","21","2292","Indianapolis","45"
"401773470","2025","1","false","2392","Michigan Tech","37","132","Bemidji State","17"
"401773703","2025","1","false","2134","Clarion","34","112335","Wheeling","0"
"401767549","2025","1","false","2754","Youngstown State","24","2385","Mercyhurst","15"
"401752794","2025","1","false","164","Rutgers","34","195","Ohio","31"
"401762790","2025","1","false","189","Bowling Green","26","322","Lafayette","7"
"401773478","2025","1","false","128","Northern Michigan","37","2817","Minnesota State Moorhead","44"
"401773643","2025","1","false","2222","Ferris State","34","90","Pittsburg St","17"
"401773065","2025","1","false","122666","Wilson","7","330","Virginia St","35"
"401754373","2025","1","false","152","NC State","24","151","East Carolina","17"
"401773691","2025","1","false","2682","Walsh","38","2699","West Liberty","10"
"401773667","2025","1","false","611","Seton Hill","21","2986","Fairmont State","24"
"401773639","2025","1","false","2364","Minnesota State Mankato","38","138","Northwest Missouri St","14"
"401773514","2025","1","false","2170","Delta State","31","2118","Central Missouri","23"
"401767327","2025","1","false","2450","Norfolk State","7","119","Towson","27"
"401761588","2025","1","false","2433","UL Monroe","29","2598","St. Francis (PA)","0"
"401756848","2025","1","false","2116","UCF","17","55","Jacksonville State","10"
"401767209","2025","1","false","2900","St. Thomas (MN)","35","2815","Lindenwood","13"
