Id,Season,Week,NeutralSite,HomeId,HomeTeam,HomePoints,HomeTeamTalent,HomeCohesionScore,AwayId,AwayTeam,AwayPoints,AwayTeamTalent,AwayCohesionScore,UnexpectedResult
401525434,2023,1,True,87,Notre Dame,42.0,870.7,0.8702380952380953,2426,Navy,3.0,0.0,,
401540199,2023,1,True,2382,Mercer,17.0,73.53,,2453,North Alabama,7.0,163.24,,0.0
401520145,2023,1,False,55,Jacksonville State,17.0,227.27,,2638,UTEP,14.0,379.64,,0.0
401525450,2023,1,False,166,New Mexico State,30.0,378.99,,113,Massachusetts,41.0,565.65,,
401540628,2023,1,False,399,UAlbany,34.0,62.15,,2230,Fordham,13.0,42.87,,
401532392,2023,1,False,21,San Diego State,20.0,440.15,1.9114604693552064,195,Ohio,13.0,342.6,,
401539999,2023,1,True,2296,Jackson State,37.0,351.51,,2569,South Carolina State,7.0,33.04,,
401520147,2023,1,False,238,Vanderbilt,35.0,639.88,,62,Hawai'i,28.0,407.77,,
401523986,2023,1,False,30,USC,56.0,896.41,,23,San José State,28.0,513.83,,
401520146,2023,1,False,2348,Louisiana Tech,22.0,433.72,,2229,Florida International,17.0,487.5,,0.0
401540244,2023,1,False,2320,Lamar,17.0,108.97,,70,Idaho,42.0,47.44,,1.0
401545743,2023,1,False,2441,New Haven,24.0,,,341,Frostburg State,27.0,,,
401540288,2023,1,False,2837,East Texas A&M,10.0,,,302,UC Davis,48.0,77.46,,
401540527,2023,1,False,2413,Morehead State,37.0,13.5,,2707,West Virginia State,35.0,,,0.0
401550265,2023,1,False,2274,Hiram College,14.0,,,191,Heidelberg,68.0,,,
401540607,2023,1,False,338,Kennesaw State,38.0,58.84,,2839,Greeneville,7.0,,,0.0
401553950,2023,1,False,2886,Northwood (MI),9.0,,,2249,Glenville State,44.0,,,
401545860,2023,1,False,2017,Alderson-Broaddus,0.0,,,2858,PennWest California,0.0,,,
401540990,2023,1,False,2882,UNC Pembroke,19.0,,,2220,Fayetteville State,17.0,,,0.0
401544917,2023,1,False,351,Wingate,30.0,,,2013,Albany State GA,7.0,,,0.0
401541838,2023,1,False,122666,Wilson,41.0,,,2804,Chowan,0.0,,,0.0
401540470,2023,1,False,2127,Charleston Southern,13.0,16.1,,2822,North Greenville,10.0,,,0.0
401540802,2023,1,False,129,Saginaw Valley State,34.0,,,2851,Winona State,24.0,,,0.0
401549697,2023,1,True,126110,Keiser University,14.0,,,2401,Mississippi College,17.0,,,
401550193,2023,1,False,2827,Rowan,17.0,,,471,Stevenson,20.0,,,
401531834,2023,1,False,2247,Georgia State,42.0,499.67,2.655982905982906,227,Rhode Island,35.0,191.72,,
401545791,2023,1,False,210,Millersville,33.0,,,2830,St. Anselm,7.0,,,0.0
401541787,2023,1,False,2568,Southern Arkansas,34.0,,,199,Southeastern Oklahoma State,19.0,,,0.0
401540323,2023,1,False,2619,Stony Brook,13.0,185.5,,48,Delaware,37.0,99.19,,1.0
401540311,2023,1,False,2097,Campbell,24.0,73.06,,2729,William & Mary,34.0,,,
401545869,2023,1,False,2339,Lincoln (PA),20.0,,,2134,Clarion,30.0,,,
401540775,2023,1,False,2823,Northwestern Oklahoma State,24.0,,,2028,Arkansas-Monticello,49.0,,,
401540299,2023,1,False,282,Indiana State,0.0,80.56,,2197,Eastern Illinois,27.0,85.97,,
401545751,2023,1,False,2825,Quincy,34.0,,,2123,Chadron St,35.0,,,
401545810,2023,1,False,132,Bemidji State,49.0,,,425,Northern State,13.0,,,0.0
401545847,2023,1,False,568,Minot State,23.0,,,2587,Southwest Minnesota State,28.0,,,
401541782,2023,1,False,2927,Southwestern Oklahoma State,14.0,,,2888,Ouachita Baptist,38.0,,,
401550240,2023,1,False,6353,Lakeland,13.0,,,272,Wisconsin-Platteville,80.0,,,
401541949,2023,1,False,196,Northeastern State,0.0,,,2231,Fort Hays State,56.0,,,
401550360,2023,1,False,2056,Belhaven,47.0,,,2398,Millsaps,7.0,,,0.0
401541855,2023,1,False,2535,Samford,69.0,97.62,,2560,Shorter,14.0,,,0.0
401547053,2023,1,False,2310,Kentucky State,34.0,,,2805,Clark Atlanta,20.0,,,0.0
401558399,2023,1,True,2347,Louisiana College,34.0,,,2194,East Texas Baptist University,14.0,,,0.0
401541872,2023,1,False,2695,West Alabama,14.0,,,2025,Angelo State,38.0,,,
401541801,2023,1,False,2291,Indiana-Pennsylvania,24.0,,,308,Ashland,17.0,,,0.0
401541033,2023,1,False,2105,Carson-Newman College,35.0,,,2355,Virginia University Of Lynchburg,3.0,,,0.0
401541751,2023,1,False,200,Southern Nazarene,20.0,,,2264,Harding University,53.0,,,
401541001,2023,1,False,2986,Fairmont State,34.0,,,2071,Bloomsburg,30.0,,,0.0
401540794,2023,1,False,134,Minnesota Duluth,47.0,,,128,Northern Michigan,10.0,,,0.0
401541881,2023,1,False,2698,West Georgia,21.0,,,2336,Limestone,19.0,,,0.0
401541833,2023,1,False,2682,Walsh,24.0,,,2699,West Liberty,21.0,,,0.0
401540728,2023,1,False,2402,Missouri S&T,20.0,,,2170,Delta State,48.0,,,
401554814,2023,1,False,2085,Buffalo State,6.0,,,2781,Brockport,42.0,,,
