Id,Season,Week,NeutralSite,HomeId,HomeTeam,HomePoints,HomeTeamTalent,HomeCohesionScore,AwayId,AwayTeam,AwayPoints,AwayTeamTalent,AwayCohesionScore,UnexpectedResult
401282714,2021,1,False,356,Illinois,30,630.16,0.4403030303030303,158,Nebraska,22,743.7,0.5287698412698413,0.0
401286187,2021,1,False,278,Fresno State,45,483.77,3.9914141414141415,41,UConn,0,331.9,,
401329133,2021,1,True,2119,Central State (OH),6,,,2310,Kentucky State,20,,,
401309833,2021,1,False,26,UCLA,44,746.02,5.057291666666667,62,Hawai'i,10,397.43,,
401328337,2021,1,False,282,Indiana State,26,45.15,,2197,Eastern Illinois,21,87.86,,0.0
401327539,2021,1,True,2428,North Carolina Central,23,80.58,,2016,Alcorn State,14,71.95,,
401282049,2021,1,False,166,New Mexico State,3,117.43,,2638,UTEP,30,318.65,,
401310693,2021,1,False,23,San José State,45,410.81,,253,Southern Utah,14,,,0.0
401282050,2021,1,True,55,Jacksonville State,0,155.11,,5,UAB,31,444.37,,
401328215,2021,1,False,351,Wingate,30,,,2551,Shaw,7,,,0.0
401328989,2021,1,False,131,Wayne State (MI),21,,,215,Slippery Rock,24,,,
401328204,2021,1,False,2619,Stony Brook,21,80.27,,160,New Hampshire,27,7.81,,1.0
401334787,2021,1,False,2986,Fairmont State,14,,,2858,PennWest California,23,,,
401334786,2021,1,False,2844,Wayne State (NE),34,,,559,University of Mary,27,,,0.0
401337471,2021,1,False,2699,West Liberty,6,,,2682,Walsh,27,,,
401328276,2021,1,False,2033,Arkansas Tech,20,,,199,Southeastern Oklahoma State,38,,,
401309540,2021,1,False,2050,Ball State,31,338.31,3.608802308802309,2710,Western Illinois,21,82.24,,
401329651,2021,1,False,2369,Mars Hill,24,,,2804,Chowan,30,,,
401329689,2021,1,False,389,Upper Iowa University,14,,,134,Minnesota Duluth,41,,,
401329357,2021,1,False,2477,Ohio Dominican,30,,,2974,Shepherd,35,,,
401329270,2021,1,False,611,Seton Hill,16,,,112335,Wheeling,14,,,0.0
401329056,2021,1,False,2105,Carson-Newman College,7,,,2698,West Georgia,45,,,
401329020,2021,1,False,2401,Mississippi College,0,,,2013,Albany State GA,24,,,
401329015,2021,1,False,2170,Delta State,48,,,2064,Bethel University Tennessee,14,,,0.0
401328973,2021,1,False,2886,Northwood (MI),21,,,367,Gannon,28,,,
401328605,2021,1,False,2815,Lindenwood,20,,,2025,Angelo State,40,,,
