Id,Season,Week,NeutralSite,HomeId,HomeTeam,HomePoints,HomeTeamTalent,HomeCohesionScore,AwayId,AwayTeam,AwayPoints,AwayTeamTalent,AwayCohesionScore,UnexpectedResult
401756846,2025,1,True,2306,Kansas State,21.0,705.85,0.2747759103641456,66,Iowa State,24.0,648.93,1.160378959276018,1.0
401767476,2025,1,False,2447,Nicholls,20.0,,,2916,Incarnate Word,6.0,,,0.0
401760371,2025,1,False,2439,UNLV,38.0,700.54,0.4189814814814814,304,Idaho State,31.0,,,0.0
401767126,2025,1,False,2502,Portland State,0.0,,,2627,Tarleton State,42.0,,,
401756847,2025,1,False,2305,Kansas,31.0,705.32,0.3712887989203778,278,Fresno State,7.0,586.84,1.7875,
401757218,2025,1,False,98,Western Kentucky,41.0,561.36,,2534,Sam Houston,24.0,477.35,,
401767410,2025,1,True,2582,Southern,14.0,,,2428,North Carolina Central,31.0,,,
401754516,2025,1,False,62,Hawai'i,23.0,481.2,,24,Stanford,20.0,707.27,,0.0
401773590,2025,1,False,2120,Central Washington,41.0,,,11,Colorado Mesa,14.0,,,0.0
401762522,2025,1,False,58,South Florida,34.0,666.89,,68,Boise State,7.0,610.65,0.6075293753865182,
401773488,2025,1,False,129,Saginaw Valley State,21.0,,,196,Northeastern State,28.0,,,
401773397,2025,1,True,2366,Marian College,21.0,,,2292,Indianapolis,45.0,,,
401773470,2025,1,False,2392,Michigan Tech,37.0,,,132,Bemidji State,17.0,,,0.0
401773703,2025,1,False,2134,Clarion,34.0,,,112335,Wheeling,0.0,,,0.0
401767549,2025,1,False,2754,Youngstown State,24.0,,,2385,Mercyhurst,15.0,,,0.0
401752794,2025,1,False,164,Rutgers,34.0,689.22,0.1823815073815073,195,Ohio,31.0,469.99,,
401762790,2025,1,False,189,Bowling Green,26.0,527.31,3.77668253968254,322,Lafayette,7.0,,,0.0
401773478,2025,1,False,128,Northern Michigan,37.0,,,2817,Minnesota State Moorhead,44.0,,,
401773643,2025,1,False,2222,Ferris State,34.0,,,90,Pittsburg St,17.0,,,0.0
401773065,2025,1,False,122666,Wilson,7.0,,,330,Virginia St,35.0,,,
401754373,2025,1,False,152,NC State,24.0,707.51,0.293412462207105,151,East Carolina,17.0,611.55,0.7668367346938776,
401773691,2025,1,False,2682,Walsh,38.0,,,2699,West Liberty,10.0,,,0.0
401773667,2025,1,False,611,Seton Hill,21.0,,,2986,Fairmont State,24.0,,,
401773639,2025,1,False,2364,Minnesota State Mankato,38.0,,,138,Northwest Missouri St,14.0,,,0.0
401773514,2025,1,False,2170,Delta State,31.0,,,2118,Central Missouri,23.0,,,0.0
401767327,2025,1,False,2450,Norfolk State,7.0,,,119,Towson,27.0,,,
401761588,2025,1,False,2433,UL Monroe,29.0,473.34,,2598,St. Francis (PA),0.0,,,0.0
401756848,2025,1,False,2116,UCF,17.0,709.99,1.0095588235294115,55,Jacksonville State,10.0,519.93,,
401767209,2025,1,False,2900,St. Thomas (MN),35.0,,,2815,Lindenwood,13.0,,,0.0
401773093,2025,1,False,2128,University Of Charleston (WV),39.0,,,2940,Livingstone,10.0,,,0.0
401757219,2025,1,False,48,Delaware,35.0,242.85,,2169,Delaware State,17.0,,,0.0
401773633,2025,1,False,2844,Wayne State (NE),21.0,,,2438,Nebraska-Kearney,28.0,,,
401767446,2025,1,False,282,Indiana State,41.0,,,2816,McKendree,24.0,,,0.0
401762789,2025,1,False,2006,Akron,0.0,537.21,2.39984126984127,2751,Wyoming,10.0,489.33,1.2011844636844635,1.0
401767171,2025,1,False,2197,Eastern Illinois,24.0,,,2168,Dayton,14.0,,,0.0
401773827,2025,1,False,2188,East Stroudsburg University,14.0,,,2205,Edinboro University,29.0,,,
401754517,2025,1,False,150,Duke,45.0,669.18,,2210,Elon,17.0,,,0.0
401767468,2025,1,False,2277,Houston Christian,69.0,,,124386,Little Rock,0.0,,,0.0
401756876,2025,1,False,197,Oklahoma State,27.0,702.74,0.3332628774734038,2630,UT Martin,7.0,,,0.0
401773431,2025,1,False,2825,Quincy,38.0,,,3066,Concordia University St Paul,7.0,,,0.0
401752674,2025,1,False,142,Missouri,61.0,804.77,0.2872053872053872,2110,Central Arkansas,6.0,,,0.0
401767298,2025,1,False,2535,Samford,3.0,,,2698,West Georgia,34.0,,,
401777556,2025,1,False,559,University of Mary,28.0,,,565,Midland Lutheran College,22.0,,,0.0
401767620,2025,1,False,2181,Drake,41.0,,,389,Upper Iowa University,7.0,,,0.0
401773788,2025,1,False,2069,Black Hills State,21.0,,,2894,Sioux Falls,27.0,,,
401777554,2025,1,False,2851,Winona State,7.0,,,134,Minnesota Duluth,35.0,,,
401773545,2025,1,False,2201,Eastern New Mexico,28.0,,,2424,New Mexico Highlands,34.0,,,
401752793,2025,1,False,135,Minnesota,23.0,711.04,0.7079963235294118,2084,Buffalo,10.0,513.33,0.6458333333333334,
401773579,2025,1,False,2714,Western Colorado,45.0,,,2704,West Texas A&M,28.0,,,0.0
401773604,2025,1,False,2214,Emporia State University,27.0,,,568,Minot State,7.0,,,0.0
401756852,2025,1,False,248,Houston,27.0,656.74,0.5557692307692308,2617,Stephen F. Austin,0.0,,,0.0
401767369,2025,1,False,2466,Northwestern State,20.0,,,2016,Alcorn State,10.0,,,0.0
401773534,2025,1,False,2231,Fort Hays State,7.0,,,2025,Angelo State,28.0,,,
401773910,2025,1,False,2570,CSU Pueblo,43.0,,,613,South Dakota Mines,0.0,,,0.0
401762430,2025,1,False,5,UAB,52.0,540.93,9.625,2011,Alabama State,42.0,,,0.0
401752796,2025,1,True,2132,Cincinnati,17.0,644.1,0.29,158,Nebraska,20.0,821.39,0.7790564373897707,
401762791,2025,1,False,275,Wisconsin,17.0,763.17,0.5483193277310925,193,Miami (OH),0.0,592.1,,
401760357,2025,1,False,21,San Diego State,42.0,594.27,0.919047619047619,2619,Stony Brook,0.0,,,0.0
401762432,2025,1,False,349,Army,27.0,23.66,,2627,Tarleton State,30.0,,,
401767140,2025,1,False,227,Rhode Island,31.0,,,2097,Campbell,20.0,,,0.0
401773529,2025,1,True,110242,West Florida,48.0,,,2331,Lenoir-Rhyne,21.0,,,0.0
401761589,2025,1,True,2429,Charlotte,11.0,526.3,2.5791666666666666,2026,App State,34.0,611.31,,
401754374,2025,1,False,154,Wake Forest,10.0,627.16,,338,Kennesaw State,9.0,338.87,,
401752802,2025,1,False,127,Michigan State,23.0,717.42,1.1224275724275723,2711,Western Michigan,6.0,534.35,,
401767256,2025,1,False,2142,Colgate,39.0,,,2405,Monmouth,42.0,,,
401766898,2025,1,False,2229,Florida International,42.0,562.61,,2065,Bethune-Cookman,9.0,,,0.0
401779329,2025,1,False,2368,Marist,31.0,,,2441,New Haven,14.0,,,0.0
401752795,2025,1,False,356,Illinois,52.0,662.13,0.2299062049062049,2710,Western Illinois,3.0,,,0.0
401756854,2025,1,False,2305,Kansas,46.0,705.32,0.3712887989203778,2681,Wagner,7.0,,,0.0
401754375,2025,1,False,38,Colorado,20.0,755.2,2.15,59,Georgia Tech,27.0,715.56,0.5313762626262626,1.0
401752667,2025,1,False,239,Baylor,24.0,726.3,0.6399999999999999,2,Auburn,38.0,891.84,0.5277056277056277,
401757224,2025,1,True,2534,Sam Houston,21.0,477.35,,2439,UNLV,38.0,700.54,0.4189814814814814,
401760358,2025,1,False,23,San José State,14.0,522.91,,2117,Central Michigan,16.0,481.16,,1.0
401773684,2025,1,False,2249,Glenville State,17.0,,,2213,Emory & Henry College,45.0,,,
401752677,2025,1,False,194,Ohio State,14.0,973.69,0.4701308307077537,251,Texas,7.0,973.54,0.5572649572649573,
401767732,2025,1,False,2329,Lehigh,21.0,,,257,Richmond,14.0,,,0.0
401773452,2025,1,False,367,Gannon,12.0,,,110254,Davenport,21.0,,,
401754520,2025,1,False,221,Pittsburgh,61.0,681.21,,2184,Duquesne,9.0,,,0.0
401773696,2025,1,False,2105,Carson-Newman College,41.0,,,2707,West Virginia State,10.0,,,0.0
401752673,2025,1,False,2572,Southern Miss,17.0,602.53,4.301303854875283,344,Mississippi State,34.0,770.48,0.84375,
401773141,2025,1,False,2560,Shorter,7.0,,,129469,Anderson (Sc),34.0,,,
401762434,2025,1,False,2426,Navy,52.0,,,2678,VMI,7.0,,,0.0
401762792,2025,1,False,2309,Kent State,21.0,456.24,,2771,Merrimack,17.0,,,0.0
401767509,2025,1,False,2643,The Citadel,0.0,,,2449,North Dakota State,38.0,,,
401752797,2025,1,False,120,Maryland,39.0,699.31,1.6465277777777778,2226,Florida Atlantic,7.0,605.22,0.6261904761904762,
401752676,2025,1,True,2633,Tennessee,45.0,866.57,0.1946849718908542,183,Syracuse,26.0,727.83,0.8519480519480519,
401752803,2025,1,False,2655,Tulane,23.0,650.87,2.208333333333333,77,Northwestern,3.0,677.97,,0.0
401752801,2025,1,False,2509,Purdue,31.0,687.74,0.8174862661704767,2050,Ball State,0.0,495.35,2.6155555555555554,
401752670,2025,1,False,96,Kentucky,24.0,763.18,1.1193065104829811,2649,Toledo,16.0,620.13,,
401767602,2025,1,False,2166,Davidson,14.0,,,46,Georgetown,51.0,,,
401767230,2025,1,False,2635,Tennessee Tech,65.0,,,2161,Cumberland (TN),0.0,,,0.0
401773099,2025,1,False,2551,Shaw,7.0,,,2013,Albany State GA,51.0,,,
401773057,2025,1,False,125,Grand Valley State University,45.0,,,2339,Lincoln (PA),9.0,,,0.0
401773520,2025,1,True,2805,Clark Atlanta,28.0,,,2673,Valdosta State,31.0,,,
401773699,2025,1,True,126086,Post University,51.0,,,455,West Virginia Wesleyan,14.0,,,0.0
401774011,2025,1,True,2119,Central State (OH),24.0,,,2310,Kentucky State,34.0,,,
401767339,2025,1,False,231,Furman,23.0,,,2729,William & Mary,21.0,,,0.0
401757167,2025,1,False,41,UConn,59.0,568.12,,2115,Central Connecticut,13.0,,,0.0
