Id,Season,Week,NeutralSite,HomeId,HomeTeam,HomePoints,HomeTeamTalent,HomeCohesionScore,AwayId,AwayTeam,AwayPoints,AwayTeamTalent,AwayCohesionScore,UnexpectedResult
401218616,2020,1,True,2110,Central Arkansas,24,24.08,,2046,Austin Peay,17,149.28,,0.0
401238035,2020,1,False,5,UAB,45,383.56,,2110,Central Arkansas,35,24.08,,
401207101,2020,1,False,2572,Southern Miss,21,401.05,7.660818713450292,6,South Alabama,32,265.69,,1.0
401237353,2020,1,False,276,Marshall,59,408.98,,2198,Eastern Kentucky,0,148.05,,
401235700,2020,1,False,349,Army,42,152.03,2.2916666666666665,2393,Middle Tennessee,0,405.4,,0.0
401212484,2020,1,False,326,Texas State,24,382.6,0.6757352941176471,2567,SMU,31,604.59,0.5319047619047619,
401207098,2020,1,False,249,North Texas,57,415.68,2.831439393939394,2277,Houston Christian,31,26.8,,
401212553,2020,1,False,235,Memphis,37,587.17,1.5,2032,Arkansas State,24,389.49,4.888541666666667,
401239884,2020,1,False,2638,UTEP,24,297.36,,2617,Stephen F. Austin,14,99.93,,
401234576,2020,1,False,2426,Navy,3,266.19,,252,BYU,55,510.95,,
401234559,2020,2,False,2390,Miami,31,822.41,,5,UAB,14,383.56,,
401234565,2020,2,False,153,North Carolina,31,740.19,1.6387151310228232,183,Syracuse,6,578.28,8.015625,
401236221,2020,2,False,66,Iowa State,14,602.96,0.7881181318681318,309,Louisiana,31,378.95,0.9203088578088578,1.0
401236081,2020,2,False,2026,App State,35,382.58,,2429,Charlotte,20,462.29,3.0416666666666665,0.0
401236053,2020,2,False,2306,Kansas State,31,560.96,2.8179621848739496,2032,Arkansas State,35,389.49,4.888541666666667,1.0
401236038,2020,2,False,277,West Virginia,56,631.27,1.0632097069597068,2198,Eastern Kentucky,10,148.05,,
401240113,2020,2,False,349,Army,37,152.03,2.2916666666666665,2433,UL Monroe,7,286.74,,0.0
401234574,2020,2,False,87,Notre Dame,27,866.21,2.391043771043771,150,Duke,13,617.12,,
401207113,2020,2,False,326,Texas State,48,382.6,0.6757352941176471,2636,UTSA,51,458.03,2.696266233766234,
401234563,2020,2,False,52,Florida State,13,832.59,1.6180860805860806,59,Georgia Tech,16,684.42,3.0785714285714287,1.0
401240233,2020,2,False,221,Pittsburgh,55,653.05,4.281170446913482,2046,Austin Peay,0,149.28,,
401215298,2020,2,False,290,Georgia Southern,27,335.43,5.496875,2097,Campbell,26,93.73,,
401236054,2020,2,False,201,Oklahoma,48,866.36,0.8,2623,Missouri State,0,85.24,,
401240039,2020,2,False,58,South Florida,27,538.18,,2643,The Citadel,6,23.94,,
401234562,2020,2,False,154,Wake Forest,13,577.3,,228,Clemson,37,915.57,3.400366161616162,
401239973,2020,2,False,6,South Alabama,24,265.69,,2655,Tulane,27,526.19,15.75,
401236222,2020,2,False,251,Texas,59,892.91,0.84375,2638,UTEP,3,297.36,,
401234564,2020,2,False,97,Louisville,35,621.82,2.5735042735042737,98,Western Kentucky,21,447.91,3.195970695970696,
401236039,2020,2,False,2641,Texas Tech,35,619.6,,2277,Houston Christian,33,26.8,,
401236658,2020,2,False,2305,Kansas,23,546.08,,324,Coastal Carolina,38,213.39,4.03125,1.0
401240126,2020,3,False,324,Coastal Carolina,43,213.39,4.03125,2097,Campbell,21,93.73,,
401212541,2020,3,False,2132,Cincinnati,55,600.61,2.579732359144124,2046,Austin Peay,20,149.28,,
401234567,2020,3,False,150,Duke,6,617.12,,103,Boston College,26,602.69,,1.0
401234571,2020,3,False,221,Pittsburgh,21,653.05,4.281170446913482,183,Syracuse,10,578.28,8.015625,
401207124,2020,3,False,98,Western Kentucky,24,447.91,3.195970695970696,2335,Liberty,30,158.93,10.75,1.0
401215301,2020,3,False,2247,Georgia State,31,333.22,2.979928774928775,309,Louisiana,34,378.95,0.9203088578088578,
401212522,2020,3,False,2655,Tulane,24,526.19,15.75,2426,Navy,27,266.19,,1.0
401236041,2020,3,False,197,Oklahoma State,16,639.23,2.2167055191397296,202,Tulsa,7,470.03,,
401241282,2020,3,False,87,Notre Dame,52,866.21,2.391043771043771,58,South Florida,0,538.18,,
401234568,2020,3,False,59,Georgia Tech,21,684.42,3.0785714285714287,2116,UCF,49,593.07,1.5297619047619049,1.0
401240041,2020,3,False,2636,UTSA,24,458.03,2.696266233766234,2617,Stephen F. Austin,10,99.93,,
401236939,2020,3,False,276,Marshall,17,408.98,,2026,App State,7,382.58,,
401240640,2020,3,False,2393,Middle Tennessee,14,405.4,,2653,Troy,47,323.67,1.8,1.0
401237492,2020,3,False,228,Clemson,49,915.57,3.400366161616162,2643,The Citadel,0,23.94,,
401207120,2020,3,False,249,North Texas,35,415.68,2.831439393939394,2567,SMU,65,604.59,0.5319047619047619,
401234569,2020,3,False,97,Louisville,34,621.82,2.5735042735042737,2390,Miami,47,822.41,,
401207106,2020,3,False,2572,Southern Miss,30,401.05,7.660818713450292,2348,Louisiana Tech,31,467.46,,
401215302,2020,3,False,2433,UL Monroe,17,286.74,,326,Texas State,38,382.6,0.6757352941176471,
401234570,2020,3,False,152,NC State,45,680.31,0.5177910052910053,154,Wake Forest,42,577.3,,
401239885,2020,3,False,2638,UTEP,17,297.36,,2000,Abilene Christian,13,79.83,,
401207132,2020,4,False,6,South Alabama,10,265.69,,5,UAB,42,383.56,,
401207134,2020,4,False,2636,UTSA,37,458.03,2.696266233766234,2393,Middle Tennessee,35,405.4,,
401237034,2020,4,False,2,Auburn,29,844.78,4.114550264550264,96,Kentucky,13,716.65,3.186957744636316,
401236253,2020,4,False,2026,App State,52,382.58,,2097,Campbell,21,93.73,,
401215303,2020,4,False,309,Louisiana,20,378.95,0.9203088578088578,290,Georgia Southern,18,335.43,5.496875,
401212536,2020,4,False,151,East Carolina,28,528.47,2.724244505494505,2116,UCF,51,593.07,1.5297619047619049,
401234594,2020,4,False,183,Syracuse,37,578.28,8.015625,59,Georgia Tech,20,684.42,3.0785714285714287,0.0
401234595,2020,4,False,221,Pittsburgh,23,653.05,4.281170446913482,97,Louisville,20,621.82,2.5735042735042737,
401235996,2020,4,False,201,Oklahoma,35,866.36,0.8,2306,Kansas State,38,560.96,2.8179621848739496,1.0
401236952,2020,4,False,145,Ole Miss,35,702.2,1.246626984126984,57,Florida,51,809.32,,
401237493,2020,4,False,2643,The Citadel,14,23.94,,2198,Eastern Kentucky,37,148.05,,
401207126,2020,4,False,2335,Liberty,36,158.93,10.75,2229,Florida International,34,480.5,,0.0
401235994,2020,4,False,2628,TCU,34,712.31,,66,Iowa State,37,602.96,0.7881181318681318,1.0
401235997,2020,4,False,197,Oklahoma State,27,639.23,2.2167055191397296,277,West Virginia,13,631.27,1.0632097069597068,
401240194,2020,4,False,2433,UL Monroe,6,286.74,,2638,UTEP,31,297.36,,
401237035,2020,4,False,99,LSU,34,873.23,,344,Mississippi State,44,739.3,3.2962367760444686,1.0
401240996,2020,4,False,2132,Cincinnati,24,600.61,2.579732359144124,349,Army,10,152.03,2.2916666666666665,
401235995,2020,4,False,2641,Texas Tech,56,619.6,,251,Texas,63,892.91,0.84375,
401234638,2020,4,False,258,Virginia,38,588.54,1.12,150,Duke,20,617.12,,0.0
401237033,2020,4,False,8,Arkansas,10,719.15,1.2083333333333333,61,Georgia,37,990.47,1.0692349317349317,
401241303,2020,4,False,103,Boston College,24,602.69,,326,Texas State,21,382.6,0.6757352941176471,
401236951,2020,4,False,142,Missouri,19,627.24,1.1432539682539682,333,Alabama,38,985.86,3.31765873015873,
401234734,2020,4,False,2572,Southern Miss,24,401.05,7.660818713450292,2655,Tulane,66,526.19,15.75,
401212485,2020,4,False,2567,SMU,50,604.59,0.5319047619047619,2617,Stephen F. Austin,7,99.93,,
401232157,2020,4,False,2348,Louisiana Tech,66,467.46,,2277,Houston Christian,38,26.8,,
401237037,2020,4,False,245,Texas A&M,17,875.1,0.431845238095238,238,Vanderbilt,12,607.68,,
401237036,2020,4,False,2579,South Carolina,27,771.64,1.1767857142857143,2633,Tennessee,31,844.16,,
401235993,2020,4,False,239,Baylor,47,642.13,3.204761904761905,2305,Kansas,14,546.08,,
401234593,2020,4,False,2390,Miami,52,822.41,,52,Florida State,10,832.59,1.6180860805860806,0.0
401234566,2020,4,False,259,Virginia Tech,45,670.7,,152,NC State,24,680.31,0.5177910052910053,0.0
401236381,2020,4,False,2110,Central Arkansas,27,24.08,,2623,Missouri State,20,85.24,,0.0
