Team,AverageScore,Missing Values
UAB,18.2,10
Colorado,10.7,5
Akron,7.387261904761905,4
Colorado State,6.269005847953216,4
James Madison,5.299166666666666,7
South Alabama,5.227042483660131,1
Fresno State,5.208662309368192,3
UCLA,5.0687165775401075,5
Texas A&M,4.9505718954248366,2
USF,4.760645604395604,2
Nevada,4.6913865546218485,2
Texas Tech,4.610952380952381,1
Iowa,4.539646464646465,10
FIU,4.530723443223443,3
San Jose State,4.4895701357466065,5
Ball State,4.2378427128427125,5
Louisiana,4.193333333333333,2
Charlotte,3.778125,1
North Texas,3.750757575757576,1
UCF,3.5575196408529743,1
Louisiana-Monroe,3.324749701314217,2
Auburn,3.3045454545454547,1
Iowa State,3.088987287222581,2
Arizona State,2.9985437356760887,2
Texas State,2.93,1
UTSA,2.9123809523809525,3
Nebraska,2.841666666666667,2
Arkansas State,2.736818181818182,3
Maryland,2.658333333333333,2
Georgia State,2.655982905982906,2
New Mexico,2.5590693257359924,2
Purdue,2.354605263157895,1
Virginia,2.191010101010101,1
Georgia Southern,2.15501628001628,1
Boise State,2.139506172839506,1
Utah,2.083782135960445,5
East Carolina,2.0451371545121546,1
Clemson,2.0284126984126987,6
Bowling Green,1.9934523809523812,1
San Diego State,1.9114604693552064,2
Old Dominion,1.8737373737373737,1
Buffalo,1.859049828427819,1
Oklahoma,1.7969387935297028,1
Michigan,1.787842365967366,4
Virginia Tech,1.7611796536796536,0
Wyoming,1.7457282913165266,3
West Virginia,1.7260499338624338,1
Troy,1.5234027777777777,1
Washington,1.4903846153846154,0
Kentucky,1.388005034181505,2
Marshall,1.362092352092352,1
Louisville,1.3566607634789454,0
Indiana,1.3558900695264333,2
Appalachian State,1.3057875457875459,1
Wisconsin,1.2926470588235293,0
Washington State,1.2591765873015872,0
Southern Miss,1.1348214285714286,1
Arizona,1.1303866587957498,1
Kansas State,1.0620448179271709,1
Florida,0.9941125541125541,0
Michigan State,0.9761538461538463,1
Oregon,0.9623232323232322,0
Florida Atlantic,0.9126984126984127,0
Alabama,0.8953463203463202,0
Florida State,0.8915476190476191,1
Notre Dame,0.8702380952380953,0
Texas,0.8694444444444445,0
Ole Miss,0.8391666666666667,0
Memphis,0.8332469999136666,0
UNLV,0.8208333333333334,0
Baylor,0.8068181818181818,0
California,0.8030357142857143,1
Kansas,0.7922064777327935,0
Coastal Carolina,0.7832323232323233,0
Utah State,0.7031072874493928,0
Mississippi State,0.6928968253968254,0
Oklahoma State,0.6884560921534606,2
Ohio State,0.6802685950413223,0
Cincinnati,0.6706349206349206,0
Arkansas,0.6506313131313132,0
LSU,0.608798076923077,0
Miami,0.5988455988455988,0
Pittsburgh,0.5824123588829471,0
Georgia Tech,0.5794635052447552,0
Oregon State,0.5221484593837535,1
Missouri,0.51,0
Minnesota,0.44946078431372544,0
South Carolina,0.4365119728756092,0
Houston,0.3864488636363636,0
Rutgers,0.38415824915824914,0
Illinois,0.31963286713286715,0
Georgia,0.30438166000666,0
Tennessee,0.2864880952380952,0
NC State,0.28501984126984126,0
North Carolina,0.27149439102564105,0
