Team,AverageScore,Missing Values
UAB,19.25,8
USF,5.724107142857143,2
Colorado,4.3,1
Akron,4.299761904761905,2
Charlotte,4.266666666666667,1
Ball State,4.236111111111112,3
Colorado State,3.6458333333333335,4
FIU,3.285917785917786,3
Iowa,3.2087749287749285,8
Arizona State,2.9046016483516484,2
Purdue,2.5328947368421053,1
Louisiana,2.523809523809524,2
Texas Tech,2.3899999999999997,1
Maryland,2.260416666666667,2
Georgia Southern,2.2419681013431014,1
Tulane,2.2083333333333335,0
Clemson,2.17696158008658,5
Nevada,2.155048076923077,1
Iowa State,2.1429801407742586,1
UTSA,1.8404017857142858,2
Texas State,1.8285714285714287,0
Fresno State,1.7875,0
South Alabama,1.75,0
West Virginia,1.719222582972583,1
Washington,1.7142857142857142,0
UCLA,1.6875,0
Arkansas State,1.642087542087542,2
Marshall,1.5477994227994227,1
Louisville,1.4869696969696968,0
Michigan,1.4735209235209235,2
Wyoming,1.458968253968254,2
Troy,1.456060606060606,1
Alabama,1.3761904761904762,0
Indiana,1.35734126984127,0
Arizona,1.3464285714285715,0
Utah,1.3176686507936508,5
Virginia,1.2619809203142536,1
Louisiana-Monroe,1.25,0
Kentucky,1.2151492869875224,2
Michigan State,1.1545704295704295,0
Utah State,1.140625,0
Appalachian State,1.1132478632478633,1
Oregon State,1.0999999999999999,0
Wisconsin,1.096638655462185,0
Nebraska,1.0852465986394557,0
Ole Miss,1.0783333333333334,0
Oklahoma,1.075568181818182,1
Washington State,1.0006613756613756,0
Mississippi State,0.98125,0
Virginia Tech,0.9680898268398268,0
San Diego State,0.9523809523809524,0
North Texas,0.943655303030303,0
Texas A&M,0.8777056277056277,0
Arkansas,0.8665945165945166,0
Boise State,0.8665429808286952,0
Syracuse,0.8519480519480519,0
UNLV,0.8379629629629629,0
Minnesota,0.8200105042016806,0
Notre Dame,0.8011904761904761,0
Auburn,0.7968253968253969,0
Florida Atlantic,0.7952380952380952,0
Baylor,0.7899999999999999,0
Coastal Carolina,0.7832323232323233,0
Memphis,0.723038073038073,0
Florida State,0.7063311688311689,1
Houston,0.7057692307692307,0
Texas,0.6972222222222222,0
Oregon,0.6690155523488857,0
San Jose State,0.6564705882352941,0
Buffalo,0.6458333333333334,0
California,0.6449239417989417,1
Florida,0.6362708719851577,0
Georgia Tech,0.6296536796536796,0
LSU,0.6191239316239316,0
UCF,0.5905349794238683,0
TCU,0.5604709130028823,0
Ohio State,0.5585591491841492,0
Penn State,0.5512820512820513,0
Georgia State,0.5434343434343435,0
Kansas,0.5182427221900906,0
East Carolina,0.5103610675039246,0
Georgia,0.4893930804645091,0
Cincinnati,0.4716666666666667,0
Old Dominion,0.4705334595959596,0
Miami,0.4599567099567099,0
Southern Miss,0.45634920634920634,0
Oklahoma State,0.41967236345525816,1
Missouri,0.41287878787878785,0
North Carolina,0.3721719946719947,0
Kansas State,0.36265535843967217,0
Bowling Green,0.3579613095238095,0
South Carolina,0.3431152181152181,0
Illinois,0.2947210197210197,0
Rutgers,0.28553807303807305,0
NC State,0.25823412698412695,0
Tennessee,0.23092234562822797,0
