Team,AverageScore,Missing Values
Southern Utah,19.833333333333332,3
Tulane,15.75,3
James Madison,12.944444444444445,6
Liberty,10.75,2
Ball State,10.318518518518518,5
Boise State,9.988095238095239,3
Jackson State,9.583333333333334,2
Syracuse,8.015625,2
San Diego State,7.704545454545454,2
Southern Miss,7.6608187134502925,3
UCLA,7.5390625,5
Colorado State,5.866666666666667,1
Incarnate Word,5.666666666666667,2
Georgia Southern,5.496875,2
Iowa,5.416666666666667,8
Wyoming,5.0036764705882355,4
Arkansas State,4.888541666666667,2
Old Dominion,4.847916666666666,1
Pittsburgh,4.281170446913482,2
Auburn,4.114550264550264,4
Fresno State,4.0650673400673405,3
Coastal Carolina,4.03125,1
Michigan,3.8893939393939396,4
Central Michigan,3.879166666666667,1
New Mexico,3.714871794871795,1
Clemson,3.400366161616162,9
Alabama,3.31765873015873,3
Mississippi State,3.2962367760444686,1
Baylor,3.204761904761905,2
Western Kentucky,3.195970695970696,1
Kentucky,3.1869577446363158,2
California,3.10806727994228,2
San Jose State,3.1009615384615383,2
Georgia Tech,3.0785714285714287,1
Charlotte,3.0416666666666665,1
Georgia State,2.979928774928775,2
Michigan State,2.8771428571428572,1
North Texas,2.831439393939394,1
Kansas State,2.8179621848739496,1
Indiana,2.7865079365079364,3
East Carolina,2.7242445054945055,1
UTSA,2.696266233766234,2
Rutgers,2.6320728291316526,1
Minnesota,2.602777777777778,2
Cincinnati,2.5797323591441237,2
Louisville,2.5735042735042737,2
Nevada,2.507894486465915,2
Notre Dame,2.391043771043771,2
Army,2.2916666666666665,0
Oklahoma State,2.2167055191397296,3
Maryland,1.9145833333333333,1
Troy,1.8,0
Utah,1.7580345117845118,5
UNLV,1.7444444444444445,1
Buffalo,1.6488425925925927,2
North Carolina,1.6387151310228232,1
Ohio State,1.6314285714285712,0
Florida Atlantic,1.6249417249417248,0
Florida State,1.6180860805860806,1
Carolina,1.546875,0
UCF,1.5297619047619047,1
Memphis,1.5,0
Montana State,1.4772727272727273,1
USF,1.4613095238095237,1
Oregon,1.4240223665223666,1
Houston,1.335489291410344,0
Ole Miss,1.2466269841269841,0
Oregon State,1.243401805166511,1
Bowling Green,1.2378571428571428,0
Arkansas,1.2083333333333333,0
Wisconsin,1.204047619047619,1
Appalachian State,1.200566893424036,0
South Carolina,1.1767857142857143,0
Missouri,1.1432539682539682,0
Temple,1.125,0
Virginia,1.1199999999999999,1
Sam Houston State,1.0753968253968254,1
Georgia,1.0692349317349317,2
West Virginia,1.0632097069597068,0
Louisiana,0.9203088578088578,0
Texas,0.84375,0
Oklahoma,0.8,0
Iowa State,0.7881181318681318,1
Nebraska,0.7708333333333334,0
Kent State,0.7666666666666666,0
Arizona,0.7421500068558892,0
Texas State,0.6757352941176471,0
Purdue,0.6672619047619047,0
Penn State,0.6308471620971621,0
USC,0.5841450216450217,0
SMU,0.5319047619047619,0
NC State,0.5177910052910053,0
Texas A&M,0.43184523809523806,0
