Team,AverageScore,Missing Values
James Madison,10.025,8
Jackson State,9.583333333333334,2
Arkansas State,8.833333333333332,3
East Carolina,8.355180533751962,3
Colorado State,8.0,2
San Diego State,7.507177033492823,2
North Texas,7.333333333333333,2
Liberty,7.125,2
Incarnate Word,6.7555555555555555,3
Carolina,6.328125,2
Iowa,5.977216610549943,9
Syracuse,5.386904761904762,2
Western Kentucky,5.368589743589744,2
Charlotte,5.1875,1
UCLA,5.057291666666667,4
Coastal Carolina,4.958333333333333,1
Wyoming,4.717296918767507,4
San Jose State,4.4956400829562595,3
Old Dominion,4.284848484848485,1
Buffalo,4.226495726495727,3
Troy,4.146825396825397,1
Clemson,4.0026620370370365,9
Fresno State,3.9914141414141415,3
Arizona,3.928234126984127,2
Maryland,3.656547619047619,3
Michigan,3.636979166666667,5
South Alabama,3.6166666666666663,1
Ball State,3.6088023088023085,3
Mississippi State,3.52007992007992,1
Minnesota,3.3339646464646466,3
New Mexico,3.238583638583638,1
Marshall,3.1730158730158733,1
Michigan State,3.05,1
Appalachian State,3.0392857142857146,1
Pittsburgh,2.9842796608276485,2
UTSA,2.9249107142857143,2
Georgia Southern,2.574090909090909,2
UNLV,2.557638888888889,1
Baylor,2.5166666666666666,2
Rutgers,2.340563725490196,1
Southern Miss,2.322751322751323,1
Nevada,2.2644962180676464,2
Kentucky,2.2568658905197365,2
California,2.208238851095994,1
Notre Dame,2.033989448051948,2
Indiana,1.9310515873015874,2
Florida Atlantic,1.8227272727272728,0
Austin Peay,1.7797619047619049,0
Oklahoma State,1.7764396568343936,3
Georgia State,1.7436324786324786,1
USF,1.740079365079365,1
Georgia Tech,1.7333333333333334,1
Arkansas,1.7100000000000002,1
Cincinnati,1.628082395545631,2
Texas,1.5166997354497356,0
Utah,1.5086016414141414,5
Florida State,1.3858516483516483,1
Kansas State,1.3384064737005914,1
Utah State,1.2857142857142858,0
Texas Tech,1.2829931972789115,0
Ole Miss,1.2606060606060607,0
Memphis,1.2424242424242424,0
Missouri,1.0576923076923077,0
Louisville,1.0256410256410258,1
Wisconsin,1.014360119047619,1
UCF,1.0006410256410256,0
Kansas,0.9965277777777778,0
Boise State,0.995970695970696,0
North Carolina,0.9671130952380952,1
Oregon,0.9379607765971403,0
Virginia,0.9199999999999999,1
Ohio State,0.8939285714285715,0
Washington State,0.861111111111111,0
Oregon State,0.8349299719887956,1
Auburn,0.8212764903941374,0
Vanderbilt,0.8208333333333333,0
Stanford,0.7944444444444444,1
Tennessee,0.7272893772893774,0
West Virginia,0.7139481778904856,0
SMU,0.6475907029478458,0
Alabama,0.6343094405594406,0
South Carolina,0.6266824085005903,0
Louisiana,0.6097963764630431,0
Oklahoma,0.5865384615384615,0
Houston,0.5815746753246753,0
Iowa State,0.5785547785547785,1
Temple,0.5625,0
Nebraska,0.5287698412698413,0
Kent State,0.5111111111111111,0
Army,0.5008928571428571,0
Purdue,0.4775998740842491,0
Bowling Green,0.46116071428571426,0
Illinois,0.4403030303030303,0
NC State,0.37947191697191696,0
TCU,0.3404761904761905,0
USC,0.32726623376623376,0
Texas A&M,0.31582146747587925,0
Central Michigan,0.29444444444444445,0
Georgia,0.251486013986014,0
