Team,AverageScore,Missing Values
Jackson State,11.275,4
James Madison,8.083333333333332,8
Carolina,7.6875,2
Colorado State,7.046783625730994,4
North Texas,6.388888888888889,2
East Carolina,6.346934315684316,3
Iowa,6.252572463768116,10
Akron,6.237261904761905,3
Western Kentucky,5.409090909090909,1
Arkansas State,5.3717171717171714,3
UCLA,5.077777777777778,4
Maryland,5.0459523809523805,3
Texas Tech,4.715952380952381,1
San Jose State,4.602890899949724,4
Kentucky,4.5447366359131065,3
Nebraska,4.537157287157287,2
Buffalo,4.211111111111111,2
Louisiana,4.193333333333333,2
FIU,4.027243589743589,2
Miami,3.992261904761905,1
Incarnate Word,3.9404761904761902,3
New Mexico,3.9068376068376067,2
Syracuse,3.778409090909091,1
San Diego State,3.4303941672362726,2
Michigan State,3.214285714285714,2
Clemson,3.0264484126984126,6
Georgia State,2.9684294871794874,2
Utah,2.9010404368358915,6
Appalachian State,2.8241496598639455,1
Fresno State,2.7113202614379084,2
Marshall,2.670734126984127,1
Wyoming,2.5880718954248367,3
Troy,2.5310763888888888,1
Old Dominion,2.512662337662338,1
Cincinnati,2.5016826923076922,2
Pittsburgh,2.489126559714795,1
Ball State,2.4847282347282347,3
Michigan,2.4670974858474857,5
Boise State,2.3264957264957267,1
Liberty,2.246060606060606,1
UTSA,2.2285714285714286,2
Virginia,2.1954545454545453,1
Southern Miss,2.071309523809524,1
Arizona,1.8991071428571427,1
Oklahoma,1.8228014409832591,1
Mississippi State,1.7977002164502165,1
Virginia Tech,1.653345139708776,0
Indiana,1.5659681227863047,2
UNLV,1.539177489177489,1
Texas A&M,1.5131382098293862,1
Washington,1.4903846153846154,0
Nevada,1.4598214285714286,1
Texas,1.4521464646464646,0
Florida Atlantic,1.45,0
Utah State,1.4166666666666667,0
Kansas State,1.395028011204482,1
UAB,1.2377777777777779,0
Rutgers,1.1544578134284016,1
Florida State,1.144642857142857,1
Kansas,1.1422064777327936,0
South Alabama,1.1366666666666667,0
UCF,1.1253443526170799,0
California,1.1062748015873016,1
Florida,1.0608405483405483,0
Memphis,1.0242424242424242,0
USF,0.9990079365079364,0
Washington State,0.9512385762385763,0
Alabama,0.9163607226107225,0
Oregon,0.9096877869605141,0
Auburn,0.8044200244200244,0
LSU,0.7972622863247864,0
Ohio State,0.7855113636363636,0
Oklahoma State,0.7572489008303818,2
Stanford,0.7436868686868686,1
North Carolina,0.7400274725274725,1
Tennessee,0.7337301587301588,0
Oregon State,0.7186577964519141,1
Wisconsin,0.6856569900687548,1
South Carolina,0.673120818575364,0
Tulane,0.6666666666666667,0
Arkansas,0.6238636363636363,0
Ole Miss,0.5958874458874459,0
Georgia Tech,0.586791958041958,0
Georgia Southern,0.574793956043956,0
Louisville,0.5642765567765567,0
Missouri,0.5458333333333333,0
West Virginia,0.5233134920634921,0
Bowling Green,0.5232993197278911,0
Purdue,0.5061126373626375,0
Minnesota,0.48638888888888887,0
Iowa State,0.47394272394272396,1
Illinois,0.46721763085399454,0
Houston,0.4473339160839161,0
Louisiana-Monroe,0.408179012345679,0
Kent State,0.3833333333333333,0
Georgia,0.32558830058830057,0
NC State,0.23266644620811286,0
